,post_id,likes_count,reposts_count,comments_count,time
472,412454.0,926.0,21.0,41.0,1478762517.0
473,412380.0,1588.0,55.0,38.0,1478756372.0
474,412371.0,1784.0,95.0,36.0,1478756195.0
475,412332.0,535.0,7.0,16.0,1478753697.0
476,412320.0,505.0,5.0,38.0,1478753445.0
477,412219.0,1077.0,23.0,43.0,1478721816.0
478,412215.0,524.0,10.0,20.0,1478721753.0
479,412202.0,700.0,21.0,28.0,1478721420.0
480,412058.0,113.0,5.0,71.0,1478708640.0
481,412048.0,209.0,4.0,19.0,1478708526.0
482,412045.0,813.0,13.0,38.0,1478708476.0
483,411962.0,302.0,11.0,24.0,1478701237.0
484,411947.0,342.0,8.0,43.0,1478700877.0
485,411682.0,768.0,21.0,27.0,1478680647.0
486,411659.0,575.0,22.0,109.0,1478680557.0
487,411619.0,782.0,16.0,40.0,1478676210.0
488,411580.0,408.0,7.0,25.0,1478671860.0
489,411519.0,940.0,32.0,24.0,1478666723.0
490,411453.0,258.0,3.0,17.0,1478658634.0
491,411451.0,519.0,7.0,12.0,1478658610.0
492,411227.0,401.0,7.0,56.0,1478627139.0
493,411226.0,157.0,1.0,20.0,1478627134.0
494,411219.0,105.0,2.0,11.0,1478627089.0
495,411218.0,100.0,0.0,7.0,1478627085.0
496,411217.0,102.0,1.0,9.0,1478627080.0
497,411215.0,104.0,2.0,9.0,1478627071.0
498,411213.0,602.0,9.0,24.0,1478627033.0
499,411025.0,49.0,2.0,21.0,1478602331.0
500,410975.0,120.0,0.0,27.0,1478597717.0
501,410936.0,840.0,23.0,42.0,1478596385.0
502,410889.0,336.0,9.0,32.0,1478594721.0
503,410801.0,393.0,7.0,66.0,1478590721.0
504,410775.0,984.0,23.0,56.0,1478590039.0
505,410718.0,417.0,8.0,47.0,1478587204.0
506,410639.0,871.0,16.0,26.0,1478581408.0
507,410637.0,542.0,8.0,21.0,1478581386.0
508,410632.0,391.0,3.0,19.0,1478581267.0
509,410581.0,462.0,15.0,24.0,1478576302.0
510,410561.0,765.0,21.0,17.0,1478574743.0
511,410535.0,368.0,10.0,23.0,1478573781.0
512,410529.0,585.0,27.0,37.0,1478573707.0
513,410367.0,473.0,12.0,28.0,1478540089.0
514,410361.0,608.0,23.0,57.0,1478539993.0
515,410249.0,564.0,10.0,55.0,1478528229.0
516,410248.0,918.0,20.0,37.0,1478528203.0
517,410139.0,1800.0,51.0,71.0,1478520994.0
518,410121.0,358.0,7.0,34.0,1478520627.0
519,410110.0,807.0,15.0,39.0,1478520353.0
520,410049.0,1398.0,56.0,48.0,1478513804.0
521,409991.0,30.0,2.0,32.0,1478503768.0
522,409965.0,1466.0,75.0,31.0,1478503172.0
523,409912.0,676.0,17.0,53.0,1478494484.0
524,409778.0,390.0,3.0,71.0,1478453666.0
525,409695.0,475.0,5.0,56.0,1478437266.0
526,409614.0,375.0,4.0,40.0,1478426549.0
527,409612.0,679.0,20.0,29.0,1478426471.0
